year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2016,LOCAL,ADEL AND WHARFEDALE,ANDERSON,Barry John,The Conservative Party Candidate,4125,,ELECTED,15603
2016,LOCAL,ADEL AND WHARFEDALE,CARTER,Emma Louise,Green Party,281,,,15603
2016,LOCAL,ADEL AND WHARFEDALE,KEBEDE,Cheryl,Liberal Democrats,948,,,15603
2016,LOCAL,ADEL AND WHARFEDALE,MORLEY,Glenn,UK Independence Party (UKIP),440,,,15603
2016,LOCAL,ADEL AND WHARFEDALE,WRAY,Paul Ian,Labour Party,1270,,,15603
2016,LOCAL,ALWOODLEY,BUCKLEY,Neil Alan,The Conservative Party Candidate,3443,,ELECTED,17469
2016,LOCAL,ALWOODLEY,HENDON,Warren,UK Independence Party (UKIP),534,,,17469
2016,LOCAL,ALWOODLEY,JACKSON,Brian,Alliance for Green Socialism - Save NHS,83,,,17469
2016,LOCAL,ALWOODLEY,MOSS,Miriam Leontine,Green Party,223,,,17469
2016,LOCAL,ALWOODLEY,PARKER,Roderic,Liberal Democrats,348,,,17469
2016,LOCAL,ALWOODLEY,WHITE,Keith Michael,Labour Party,1982,,,17469
2016,LOCAL,ARDSLEY AND ROBIN HOOD,ATKIN,Tim,The Conservative Party Candidate,1161,,,17166
2016,LOCAL,ARDSLEY AND ROBIN HOOD,DOVE,Lindon,UK Independence Party (UKIP),1096,,,17166
2016,LOCAL,ARDSLEY AND ROBIN HOOD,PAGE,Lyssie,Green Party,143,,,17166
2016,LOCAL,ARDSLEY AND ROBIN HOOD,RENSHAW,Karen,Labour Party,2248,,ELECTED,17166
2016,LOCAL,ARDSLEY AND ROBIN HOOD,WARD,Benjamin Lloyd,Liberal Democrats,225,,,17166
2016,LOCAL,ARMLEY,CALDWELL,David,UK Independence Party (UKIP),1104,,,16895
2016,LOCAL,ARMLEY,GLOVER,Christine Amy,Liberal Democrats,181,,,16895
